Source,Company,Title,Location,URL,Matched Certifications,Scraped On
Workday,pwc,Senior Associate - Advisory Deals - Forensics (Technology),Jakarta,https://pwc.wd3.myworkdayjobs.com/Global_Experienced_Careers/job/Jakarta/Senior-Associate---Advisory-Deals---Forensics--Technology-_691890WD,"CISA, GIAC (other)",2026-08-31
Workday,pwc,FY25 - Risk Assurance - Senior Manager - IT Cybersecurity,Jakarta,https://pwc.wd3.myworkdayjobs.com/Global_Experienced_Careers/job/Jakarta/FY25---Risk-Assurance---Senior-Manager---IT-Cybersecurity_664118WD,"CISSP, CISA, CEH, CCSP, GIAC (other)",2026-08-31
Workday,pwc,FY26 - Risk Assurance - Manager - IT Cybersecurity,Jakarta,https://pwc.wd3.myworkdayjobs.com/Global_Experienced_Careers/job/Jakarta/FY26---Risk-Assurance---Manager---IT-Cybersecurity_664076WD,"CISSP, CISA, CEH, CCSP, GIAC (other)",2026-08-31
Workday,pwc,FY 26 - Risk Assurance - Senior Associate - IT Cybersecurity,Jakarta,https://pwc.wd3.myworkdayjobs.com/Global_Experienced_Careers/job/Jakarta/FY-26---Risk-Assurance---Senior-Associate---IT-Cybersecurity_664085WD,"CISSP, CISM, OSCP, CCSP",2026-08-31
